"","Beer","Brewery","Location","Style","Size","ABV","IBU"
"1","Get Together","NorthGate Brewing","Minneapolis, MN","American IPA","16 oz.","4.5%","50"
"2","Maggie's Leap","NorthGate Brewing","Minneapolis, MN","Milk / Sweet Stout","16 oz.","4.9%","26"
"3","Wall's End","NorthGate Brewing","Minneapolis, MN","English Brown Ale","16 oz.","4.8%","19"
"4","Pumpion","NorthGate Brewing","Minneapolis, MN","Pumpkin Ale","16 oz.","6.0%","38"
"5","Stronghold","NorthGate Brewing","Minneapolis, MN","American Porter","16 oz.","6.0%","25"
"6","Parapet ESB","NorthGate Brewing","Minneapolis, MN","Extra Special / Strong Bitter (ESB)","16 oz.","5.6%","47"
"7","Citra Ass Down","Against the Grain Brewery","Louisville, KY","American Double / Imperial IPA","16 oz.","8.0%","68"
"8","London Balling","Against the Grain Brewery","Louisville, KY","English Barleywine","16 oz.","12.5%","80"
"9","35 K","Against the Grain Brewery","Louisville, KY","Milk / Sweet Stout","16 oz.","7.7%","25"
"10","A Beer","Against the Grain Brewery","Louisville, KY","American Pale Ale (APA)","16 oz.","4.2%","42"
"11","Rules are Rules","Against the Grain Brewery","Louisville, KY","German Pilsener","16 oz.","5.0%","25"
"12","Flesh Gourd'n","Against the Grain Brewery","Louisville, KY","Pumpkin Ale","16 oz.","6.6%","21"
"13","Sho'nuff","Against the Grain Brewery","Louisville, KY","Belgian Pale Ale","16 oz.","4.0%","13"
"14","Bloody Show","Against the Grain Brewery","Louisville, KY","American Pilsner","16 oz.","5.5%","17"
"15","Rico Sauvin","Against the Grain Brewery","Louisville, KY","American Double / Imperial IPA","16 oz.","7.6%","68"
"16","Coq de la Marche","Against the Grain Brewery","Louisville, KY","Saison / Farmhouse Ale","16 oz.","5.1%","38"
"17","Kamen Knuddeln","Against the Grain Brewery","Louisville, KY","American Wild Ale","16 oz.","6.5%","N/A"
"18","Pile of Face","Against the Grain Brewery","Louisville, KY","American IPA","16 oz.","6.0%","65"
"19","The Brown Note","Against the Grain Brewery","Louisville, KY","English Brown Ale","16 oz.","5.0%","20"
"20","House Lager","Jack's Abby Craft Lagers","Framingham, MA","Keller Bier / Zwickel Bier","16 oz.","5.2%","18"
"21","Leisure Time","Jack's Abby Craft Lagers","Framingham, MA","American Pale Lager","12 oz.","4.8%","15"
"22","Excess IPL","Jack's Abby Craft Lagers","Framingham, MA","American India Pale Lager","16 oz.","7.2%","80"
"23","Hoponius Union","Jack's Abby Craft Lagers","Framingham, MA","American India Pale Lager","12 oz.","6.7%","65"
"24","Calyptra","Jack's Abby Craft Lagers","Framingham, MA","American India Pale Lager","12 oz.","4.9%","45"
"25","Habitus (2014)","Mike Hess Brewing Company","San Diego, CA","American Double / Imperial IPA","16 oz.","8.0%","100"
"26","Solis","Mike Hess Brewing Company","San Diego, CA","American IPA","16 oz.","7.5%","85"
"27","Jucundus","Mike Hess Brewing Company","San Diego, CA","Wheat Ale","16 oz.","6.0%","24"
"28","Habitus","Mike Hess Brewing Company","San Diego, CA","American Double / Imperial IPA","16 oz.","8.0%","100"
"29","Grazias","Mike Hess Brewing Company","San Diego, CA","Cream Ale","16 oz.","6.3%","30"
"30","Claritas","Mike Hess Brewing Company","San Diego, CA","Kölsch","16 oz.","5.8%","28"
"31","Park","Fort Point Beer Company","San Francisco, CA","American Pale Wheat Ale","12 oz.","4.7%","19"
"32","Westfalia","Fort Point Beer Company","San Francisco, CA","American Amber / Red Ale","12 oz.","5.6%","16"
"33","KSA","Fort Point Beer Company","San Francisco, CA","Kölsch","12 oz.","4.6%","17"
"34","Villager","Fort Point Beer Company","San Francisco, CA","American IPA","12 oz.","6.3%","42"
"35","Blackbeard","COAST Brewing Company","Charleston, SC","American Double / Imperial Stout","12 oz.","9.3%","N/A"
"36","Rye Knot","COAST Brewing Company","Charleston, SC","American Brown Ale","12 oz.","6.2%","N/A"
"37","Dead Arm","COAST Brewing Company","Charleston, SC","American Pale Ale (APA)","12 oz.","6.0%","N/A"
"38","32°/50° Kölsch","COAST Brewing Company","Charleston, SC","Kölsch","16 oz.","4.8%","N/A"
"39","HopArt","COAST Brewing Company","Charleston, SC","American IPA","16 oz.","7.7%","N/A"
"40","Boy King","COAST Brewing Company","Charleston, SC","American Double / Imperial IPA","16 oz.","9.7%","N/A"
"41","Denver Pale Ale (Artist Series No. 1)","Great Divide Brewing Company","Denver, CO","American Pale Ale (APA)","12 oz.","5.0%","N/A"
"42","Hibernation Ale","Great Divide Brewing Company","Denver, CO","Old Ale","12 oz.","8.7%","N/A"
"43","Whitewater","Great Divide Brewing Company","Denver, CO","American Pale Wheat Ale","12 oz.","6.1%","N/A"
"44","Rumble","Great Divide Brewing Company","Denver, CO","American IPA","12 oz.","7.1%","N/A"
"45","Orabelle","Great Divide Brewing Company","Denver, CO","Tripel","12 oz.","8.3%","N/A"
"46","Lasso","Great Divide Brewing Company","Denver, CO","American IPA","12 oz.","5.0%","N/A"
"47","Yeti Imperial Stout","Great Divide Brewing Company","Denver, CO","Russian Imperial Stout","12 oz.","9.5%","75"
"48","Colette","Great Divide Brewing Company","Denver, CO","Saison / Farmhouse Ale","12 oz.","7.3%","N/A"
"49","Titan IPA","Great Divide Brewing Company","Denver, CO","American IPA","12 oz.","7.1%","N/A"
"50","Peck's Porter","Tapistry Brewing","Bridgman, MI","American Porter","16 oz.","6.5%","35"
"51","Dark Star","Big Lake Brewing","Holland, MI","American Stout","16 oz.","8.0%","54"
"52","G. B. Russo’s Italian Pistachio Pale Ale","The Mitten Brewing Company","Grand Rapids, MI","American Pale Ale (APA)","16 oz.","5.2%","N/A"
"53","Belfort","Brewery Vivant","Grand Rapids, MI","Saison / Farmhouse Ale","16 oz.","6.7%","N/A"
"54","Star Runner","Brewery Vivant","Grand Rapids, MI","Belgian Pale Ale","16 oz.","6.0%","N/A"
"55","Sparkle","Petoskey Brewing","Petoskey, MI","American Pale Lager","16 oz.","4.1%","12"
"56","Nordskye","Blackrocks Brewery","Marquette, MI","American IPA","12 oz.","4.8%","47"
"57","Hotbox Brown","Perrin Brewing Company","Comstock Park, MI","American Brown Ale","12 oz.","5.5%","10"
"58","Gold","Perrin Brewing Company","Comstock Park, MI","American Blonde Ale","12 oz.","4.8%","15"
"59","Black","Perrin Brewing Company","Comstock Park, MI","American Black Ale","12 oz.","5.8%","N/A"
"60","98 Problems (Cuz A Hop Ain't One)","Perrin Brewing Company","Comstock Park, MI","American IPA","12 oz.","6.5%","65"
"61","Veteran’s Pale Ale (VPA)","Perrin Brewing Company","Comstock Park, MI","American Pale Ale (APA)","12 oz.","5.0%","40"
"62","Grapefruit IPA","Perrin Brewing Company","Comstock Park, MI","American IPA","12 oz.","5.0%","35"
"63","Train Hopper","Witch's Hat Brewing Company","South Lyon, MI","American IPA","12 oz.","5.8%","72"
"64","Edward’s Portly Brown","Witch's Hat Brewing Company","South Lyon, MI","American Brown Ale","12 oz.","4.5%","N/A"
"65","Dirty Bastard","Founders Brewing Company","Grand Rapids, MI","Scotch Ale / Wee Heavy","12 oz.","8.5%","50"
"66","Deflator","Flat 12 Bierwerks","Indianapolis, IN","Doppelbock","16 oz.","6.5%","N/A"
"67","Cafe Leche","Tin Man Brewing Company","Evansville, IN","American Porter","16 oz.","5.8%","20"
"68","Damascene Apricot Sour","Tin Man Brewing Company","Evansville, IN","Fruit / Vegetable Beer","16 oz.","5.2%","12"
"69","Csar","Tin Man Brewing Company","Evansville, IN","Russian Imperial Stout","16 oz.","12.0%","90"
"70","Saucy Intruder","Black Acre Brewing Co.","Indianapolis, IN","Rye Beer","16 oz.","7.2%","75"
"71","Insert Hop Reference","Brew Link Brewing","Plainfield, IN","American Pale Ale (APA)","16 oz.","5.8%","N/A"
"72","Thai.p.a","Bare Hands Brewery","Granger, IN","American IPA","16 oz.","7.0%","46"
"73","Citra Faced","Three Pints Brewing","Martinsville, IN","American Pale Wheat Ale","16 oz.","5.5%","64"
"74","Pole Barn Stout","Three Pints Brewing","Martinsville, IN","Oatmeal Stout","16 oz.","5.5%","31"
"75","Pale","Three Pints Brewing","Martinsville, IN","American Pale Ale (APA)","16 oz.","5.4%","37"
"76","Yoshi's Nectar","Three Pints Brewing","Martinsville, IN","California Common / Steam Beer","16 oz.","5.3%","27"
"77","Feel Like Maplin' Love","Four Fathers Brewing","Valparaiso, IN","Oatmeal Stout","16 oz.","5.5%","N/A"
"78","Father's Beer","Four Fathers Brewing","Valparaiso, IN","Belgian Pale Ale","16 oz.","5.0%","N/A"
"79","The 26th","Four Fathers Brewing","Valparaiso, IN","American IPA","16 oz.","6.0%","N/A"
"80","The Gadget","Four Fathers Brewing","Valparaiso, IN","American IPA","16 oz.","6.4%","90"
"81","Tribute","Indiana City Brewing","Indianapolis, IN","American Pale Ale (APA)","12 oz.","5.8%","58"
"82","Wrath of Pele","Burn 'Em Brewing","Michigan City, IN","American Brown Ale","16 oz.","6.5%","N/A"
"83","Black Beer'd","Burn 'Em Brewing","Michigan City, IN","American Black Ale","16 oz.","6.8%","N/A"
"84","Mr. Tea","Burn 'Em Brewing","Michigan City, IN","Fruit / Vegetable Beer","24 oz.","7.8%","N/A"
"85","Tip Off","Sun King Brewing Company","Indianapolis, IN","Altbier","16 oz.","5.2%","29"
"86","Blonde Czich","Evil Czech Brewery","Mishawaka, IN","American Blonde Ale","16 oz.","4.9%","23"
"87","Galaxyfest","450 North Brewing Company","Columbus, IN","American IPA","16 oz.","6.5%","N/A"
"88","Citrafest","450 North Brewing Company","Columbus, IN","American IPA","16 oz.","5.0%","45"
"89","Deduction","Taxman Brewing Company","Bargersville, IN","Dubbel","12 oz.","8.0%","22"
"90","Gone A-Rye","Cedar Creek Brewery","Seven Points, TX","American Double / Imperial IPA","16 oz.","8.5%","90"
"91","Sex Panther","SanTan Brewing Company","Chandler, AZ","American Porter","12 oz.","6.9%","20"
"92","Tart Side of the Barrel","Brewery Vivant","Grand Rapids, MI","American Double / Imperial Stout","16 oz.","9.8%","N/A"
"93","Linnaeus Mango IPA","Brewery Vivant","Grand Rapids, MI","American IPA","16 oz.","6.0%","N/A"
"94","Heavy Lifting","Boulevard Brewing Company","Kansas City, MO","American IPA","12 oz.","6.2%","80"
"95","Bastian","James Page Brewing Company","Stevens Point, WI","American Strong Ale","12 oz.","???","N/A"
"96","Surfrider","The Dudes' Brewing Company","Torrance, CA","American Pale Ale (APA)","16 oz.","5.2%","35"
"97","Grapefruit Sculpin","Ballast Point Brewing Company","San Diego, CA","American IPA","12 oz.","7.0%","N/A"
"98","Liberty Ale","Anchor Brewing Company","San Francisco, CA","American IPA","12 oz","5.9%","N/A"
"99","Weiss Weiss Baby","Figueroa Mountain Brewing Company","Buellton, CA","Kristalweizen","12 oz.","4.5%","N/A"
"100","Czech Yo Self","Figueroa Mountain Brewing Company","Buellton, CA","Czech Pilsener","12 oz.","5.5%","45"
"101","Raja","Avery Brewing Company","Boulder, CO","American Double / Imperial IPA","12 oz.","8.0%","N/A"
"102","Cow Creek","Twisted X Brewing Company","Dripping Springs, TX","American Amber / Red Lager","12 oz.","5.4%","26"
"103","Vanilla Porter","Gonzo's BiggDogg Brewing","Kalamazoo, MI","American Porter","16 oz.","7.0%","11"
"104","Blueberry Blonde","Big Muddy Brewing","Murphysboro, IL","Fruit / Vegetable Beer","12 oz.","6.0%","N/A"
"105","Galaxy IPA","Big Muddy Brewing","Murphysboro, IL","American IPA","16 oz.","7.5%","60"
"106","Gose","Lost Nation Brewing","East Fairfield, VT","Gose","16 oz.","4.6%","8"
"107","Vermont Pilsner","Lost Nation Brewing","East Fairfield, VT","German Pilsener","16 oz.","4.8%","20"
"108","Mosaic Single Hop IPA","Lost Nation Brewing","East Fairfield, VT","American IPA","16 oz.","5.5%","N/A"
"109","Lost Galaxy","Lost Nation Brewing","East Fairfield, VT","American IPA","16 oz.","4.5%","N/A"
"110","Gose","Rising Tide Brewing Company","Portland, ME","Gose","16 oz.","3.5%","N/A"
"111","Jah Mon","Rivertowne Brewing Company","Export, PA","American IPA","12 oz.","5.0%","100"
"112","IPA","Anchor Brewing Company","San Francisco, CA","American IPA","12 oz.","6.5%","N/A"
"113","Summer Wheat","Anchor Brewing Company","San Francisco, CA","American Pale Wheat Ale","12 oz.","4.5%","N/A"
"114","Fist City","Revolution Brewing Company","Chicago, IL","American Pale Ale (APA)","12 oz.","5.5%","40"
"115","Wooden Rooster","Tallgrass Brewing Company","Manhattan, KS","Tripel","16.9 oz.","8.5%","34"
"116","4Beans","Sixpoint Craft Ales","Brooklyn, NY","Baltic Porter","12 oz.","10.0%","52"
"117","Raspberry Berliner Weisse","White Birch Brewing","Hooksett, NH","Berliner Weissbier","12 oz.","5.5%","N/A"
"118","Hop Session","White Birch Brewing","Hooksett, NH","American IPA","12 oz.","5.0%","N/A"
"119","Blueberry Berliner Weisse","White Birch Brewing","Hooksett, NH","Berliner Weissbier","12 oz.","5.5%","N/A"
"120","Berliner Weisse","White Birch Brewing","Hooksett, NH","Berliner Weissbier","12 oz.","5.5%","N/A"
"121","Easy Jack","Firestone Walker Brewing Company","Paso Robles, CA","American IPA","12 oz.","4.5%","47"
"122","Take Two Pils","SweetWater Brewing Company","Atlanta, GA","German Pilsener","12 oz.","5.5%","35"
"123","Flying Mouse 8","Flying Mouse Brewery","Troutville, VA","American Porter","12 oz.","4.0%","N/A"
"124","Flying Mouse 4","Flying Mouse Brewery","Troutville, VA","American IPA","12 oz.","7.0%","70"
"125","Lee Hill Series Vol. 5 - Belgian Style Quadrupel Ale","Upslope Brewing Company","Boulder, CO","Quadrupel (Quad)","19.2 oz.","12.8%","N/A"
"126","Lee Hill Series Vol. 4 - Manhattan Style Rye Ale","Upslope Brewing Company","Boulder, CO","Rye Beer","19.2 oz.","10.4%","N/A"
"127","Lee Hill Series Vol. 2 - Wild Saison","Upslope Brewing Company","Boulder, CO","American Wild Ale","19.2 oz.","6.8%","24"
"128","Lee Hill Series Vol. 3 - Barrel Aged Imperial Stout","Upslope Brewing Company","Boulder, CO","American Double / Imperial Stout","19.2 oz.","9.9%","51"
"129","Lee Hill Series Vol. 1 - Barrel Aged Brown Ale","Upslope Brewing Company","Boulder, CO","American Brown Ale","19.2 oz.","7.6%","N/A"
"130","Blood Orange Saison","Upslope Brewing Company","Boulder, CO","Saison / Farmhouse Ale","12 oz.","6.0%","N/A"
"131","Blood of the Unicorn","Pipeworks Brewing Company","Chicago, IL","American Amber / Red Ale","16 oz.","6.5%","N/A"
"132","Moar","Bent Brewstillery","Roseville, MN","English India Pale Ale (IPA)","12 oz.","4.4%","44"
"133","Uber Lupin Schwarz IPA","Bent Brewstillery","Roseville, MN","American Double / Imperial IPA","16 oz.","8.3%","N/A"
"134","Nordic Blonde","Bent Brewstillery","Roseville, MN","American Blonde Ale","12 oz.","5.7%","27"
"135","Ginger Peach Saison","Tallgrass Brewing Company","Manhattan, KS","Saison / Farmhouse Ale","16 oz.","4.8%","20"
"136","Moped Traveler","Flesk Brewing Company","Lombard, IL","American Pale Ale (APA)","16 oz.","5.5%","N/A"
"137","Mazzie","Pollyanna Brewing Company","Lemont, IL","American Pale Ale (APA)","12 oz.","5.4%","45"
"138","Painted Turtle","BuckleDown Brewing","Lyons, IL","American Pale Ale (APA)","12 oz.","4.5%","N/A"
"139","Waterkeeper","SweetWater Brewing Company","Atlanta, GA","Hefeweizen","12 oz.","5.7%","N/A"
"140","Weissenheimer","Destihl Brewery","Bloomington, IL","Hefeweizen","12 oz.","5.2%","16"
"141","Make It So","Summit Brewing Company","St. Paul, MN","Extra Special / Strong Bitter (ESB)","12 oz.","5.3%","40"
"142","Beasts A'Burnin'","Brewery Vivant","Grand Rapids, MI","Rauchbier","16 oz.","7.0%","N/A"
"143","Beach Cruiser","Latitude 42 Brewing Company","Portage, MI","Hefeweizen","12 oz.","4.5%","N/A"
"144","Perzik Saison","Avery Brewing Company","Boulder, CO","Saison / Farmhouse Ale","12 oz.","6.4%","N/A"
"145","Passion Fruit Prussia","4 Hands Brewing Company","Saint Louis, MO","Berliner Weissbier","12 oz.","3.5%","11"
"146","Send Help","4 Hands Brewing Company","Saint Louis, MO","American Blonde Ale","12 oz.","4.5%","18"
"147","Todd the Axe Man","Surly Brewing Company","Brooklyn Center, MN","American IPA","16 oz.","7.2%","N/A"
"148","Verdun","Brewery Vivant","Grand Rapids, MI","Bière de Garde","16 oz.","7.7%","N/A"
"149","Barrel Aged Triomphe","Brewery Vivant","Grand Rapids, MI","Belgian IPA","16 oz.","6.5%","N/A"
"150","Citra Ass Down","Against The Grain Brewery","Louisville, KY","American IPA","16 oz.","8.2%","68"
"151","The Brown Note","Against The Grain Brewery","Louisville, KY","American Brown Ale","16 oz.","5.0%","20"
"152","Neomexicanus Native","Crazy Mountain Brewing Company","Edwards, CO","American Pale Ale (APA)","12 oz.","6.0%","46"
"153","Monkey Dancing On A Razor Blade","SlapShot Brewing Company","Chicago, IL","Belgian IPA","24 oz.","8.5%","N/A"
"154","Tripel Deke","SlapShot Brewing Company","Chicago, IL","Tripel","24 oz.","8.2%","N/A"
"155","Vinyl Frontier","Mikerphone Brewing","Chicago, IL","American Double / Imperial IPA","24 oz.","8.3%","N/A"
"156","Disco Superfly","Mikerphone Brewing","Chicago, IL","American IPA","24 oz.","8.0%","N/A"
"157","Misty Mountain Hop","Mikerphone Brewing","Chicago, IL","American IPA","24 oz.","7.5%","N/A"
"158","One-Hit Wonderful","Mikerphone Brewing","Chicago, IL","Belgian IPA","24 oz.","7.5%","N/A"
"159","En Parfaite Harmonie","Mikerphone Brewing","Chicago, IL","Saison / Farmhouse Ale","24 oz.","6.5%","N/A"
"160","Daft Funk","Mikerphone Brewing","Chicago, IL","Berliner Weissbier","24 oz.","4.3%","8"
"161","Love In An Ellavator","Mikerphone Brewing","Chicago, IL","American IPA","24 oz.","7.5%","N/A"
"162","Spin Doctor","Mikerphone Brewing","Chicago, IL","American Pale Ale (APA)","24 oz.","5.3%","N/A"
"163","OktoberFiesta","Freetail Brewing Company","San Antonio, TX"," ","12 oz.","5.3%","27"
"164","Texicali","Freetail Brewing Company","San Antonio, TX","American Brown Ale","12 oz.","6.5%","33"
"165","Pinata Protest","Freetail Brewing Company","San Antonio, TX","Witbier","12 oz.","6.0%","N/A"
"166","Bat Outta Helles","Freetail Brewing Company","San Antonio, TX","Munich Helles Lager","12 oz.","4.2%","20"
"167","Original","Freetail Brewing Company","San Antonio, TX","American Amber / Red Ale","12 oz.","6.8%","N/A"
"168","Rye Wit","Freetail Brewing Company","San Antonio, TX","Witbier","12 oz.","4.2%","10"
"169","Soul Doubt","Freetail Brewing Company","San Antonio, TX","American IPA","12 oz.","5.9%","70"
"170","Yo Soy Un Berliner","Freetail Brewing Company","San Antonio, TX","Berliner Weissbier","12 oz.","4.4%","5"
"171","Bimini Twist","3 Daughters Brewing","St Petersburg, FL","American IPA","12 oz.","7.0%","82"
"172","Beach Blonde","3 Daughters Brewing","St Petersburg, FL","American Blonde Ale","12 oz.","5.0%","N/A"
"173","Rod Bender Red","3 Daughters Brewing","St Petersburg, FL","American Amber / Red Ale","12 oz.","5.9%","N/A"
"174","Farmer's Daughter Blonde","Red Shedman Farm Brewery and Hop...","Mt. Airy, MD","American Blonde Ale","16 oz.","5.1%","17"
"175","Pump House IPA","Red Shedman Farm Brewery and Hop...","Mt. Airy, MD","American IPA","16 oz.","5.5%","45"
"176","Suicide Blonde IPA","Red Shedman Farm Brewery and Hop...","Mt. Airy, MD","Belgian IPA","16 oz.","7.0%","N/A"
"177","Vanilla Porter","Red Shedman Farm Brewery and Hop...","Mt. Airy, MD","American Porter","16 oz.","4.7%","25"
"178","Honey Rye","Red Shedman Farm Brewery and Hop...","Mt. Airy, MD","Rye Beer","16 oz.","5.8%","18"
"179","Long Leaf","Appalachian Mountain Brewery","Boone, NC","American IPA","16 oz.","7.1%","75"
"180","Honey Badger Blonde","Appalachian Mountain Brewery","Boone, NC","American Blonde Ale","16 oz.","4.7%","19"
"181","Porter (a/k/a Black Gold Porter)","Appalachian Mountain Brewery","Boone, NC","American Porter","16 oz.","6.0%","23"
"182","Jalapeno Pale Ale","Birdsong Brewing Company","Charlotte, NC","American Pale Ale (APA)","16 oz.","5.5%","45"
"183","Double Duckpin","Union Craft Brewing","Baltimore, MD","American Double / Imperial IPA","12 oz.","8.5%","90"
"184","Old Pro","Union Craft Brewing","Baltimore, MD","Gose","12 oz.","4.2%","10"
"185","Abbey's Single (2015- )","Destihl Brewery","Bloomington, IL","Abbey Single Ale","12 oz.","4.9%","22"
"186","Cherry Doppelbock","Brewery Vivant","Grand Rapids, MI","Doppelbock","16 oz.","6.5%","N/A"
"187","Hop A-Peel","Atwater Brewery","Detroit, MI","American Double / Imperial IPA","16 oz.","7.5%","115"
"188","Vanilla Java Porter","Atwater Brewery","Detroit, MI","American Porter","16 oz.","5.5%","12"
"189","Hopalicious","Ale Asylum","Madison, WI","American Pale Ale (APA)","12 oz.","5.7%","N/A"
"190","Tropical Saison","Brewery Vivant","Grand Rapids, MI","Saison / Farmhouse Ale","16 oz.","6.5%","N/A"
"191","Beach Patrol","Brewery Vivant","Grand Rapids, MI","Witbier","16 oz.","6.5%","N/A"
"192","Nuit Serpent","Brewery Vivant","Grand Rapids, MI","Belgian IPA","16 oz.","5.0%","N/A"
"193","Wobble","Two Brothers Brewing Company","Warrenville, IL","American IPA","16 oz.","6.3%","69"
"194","Cold Press","Bent Paddle Brewing Company","Duluth, MN","American Black Ale","12 oz.","6.0%","N/A"
"195","Michelada","Atwater Brewery","Detroit, MI","Fruit / Vegetable Beer","16 oz.","5.2%","N/A"
"196","Oberon","Bell's Brewery","Kalamazoo, MI","American Pale Wheat Ale","12 OZ.","5.8%","N/A"
"197","I.P. Eh!","Latitude 42 Brewing Company","Portage, MI","American IPA","12 oz.","6.8%","N/A"
"198","Schoolhouse Honey","Latitude 42 Brewing Company","Portage, MI","American Amber / Red Ale","12 oz.","5.0%","N/A"
"199","10 Degrees of Separation","Latitude 42 Brewing Company","Portage, MI","English Brown Ale","12 oz.","5.5%","N/A"
"200","Professor Black","Blue Owl Brewing","Austin, TX","American Stout","12 oz.","???","N/A"
"201","Little Boss","Blue Owl Brewing","Austin, TX","American Pale Wheat Ale","12 oz.","???","N/A"
"202","Van Dayum!","Blue Owl Brewing","Austin, TX","American Amber / Red Ale","12 oz.","???","N/A"
"203","Spirit Animal","Blue Owl Brewing","Austin, TX","American Pale Ale (APA)","12 oz.","???","N/A"
"204","Baby Daddy Session IPA","Speakasy Ales & Lagers","San Francisco, CA","American IPA","12 oz.","4.7%","35"
"205","Saddle Bronc Brown Ale","Black Tooth Brewing Company","Sheridan, WY","American Brown Ale","12 oz.","4.8%","16"
"206","Bomber Mountain Amber Ale","Black Tooth Brewing Company","Sheridan, WY","American Amber / Red Ale","12 oz.","4.6%","20"
"207","Hard Cider","Hopworks Urban Brewery","Portland, OR","Cider","16 oz.","6.8%","N/A"
"208","Totally Radler","Hopworks Urban Brewery","Portland, OR","Radler","16 oz.","2.7%","21"
"209","Paris","Brewery Vivant","Grand Rapids, MI","Saison / Farmhouse Ale","16 oz.","9.0%","N/A"
"210","Healani","James Page Brewing Company","Stevens Point, WI","Hefeweizen","12 oz.","4.5%","N/A"
"211","Jammer","Sixpoint Craft Ales","Brooklyn, NY","Gose","12 oz. Slimline","4.2%","16"
"212","Pale Alement","Burn 'Em Brewing","Michigan City, IN","American Pale Ale (APA)","12 oz.","5.5%","40"
"213","Lil' Brainless Raspberries","Epic Brewing","Denver, CO","Fruit / Vegetable Beer","12 oz.","5.2%","N/A"
"214","The Grand Army","Brewery Vivant","Grand Rapids, MI","Belgian IPA","16 oz.","5.5%","N/A"
"215","Slow Ride","New Belgium Brewing Company","Fort Collins, CO","American IPA","12 oz.","4.5%","40"
"216","Nooner","Sierra Nevada Brewing Company","Chico, CA","German Pilsener","12 oz.","5.2%","N/A"
"217","Hopvale Organic Ale","Summit Brewing Company","St. Paul, MN","American Pale Ale (APA)","16 oz.","4.7%","55"
"218","U. P. Witbier","Keweenaw Brewing Company","Houghton, MI","Witbier","12 oz.","???","N/A"
"219","Hopkick Dropkick","Burn 'Em Brewing","Michigan City, IN","American Double / Imperial IPA","12 oz.","9.9%","115"
"220","Kreamed Corn","Burn 'Em Brewing","Michigan City, IN","Cream Ale","12 oz.","6.0%","N/A"
"221","Ryecoe","Big Lake Brewing","Holland, MI","American IPA","16 oz.","6.2%","N/A"
"222","Manitou Amber","Brewery Terra Firma","Traverse City, MI","American Amber / Red Ale","16 oz.","5.3%","N/A"
"223","Acidulated Trip","Brewery Vivant","Grand Rapids, MI","Saison / Farmhouse Ale","16 oz.","5.9%","N/A"
"224","Root Stock","Brewery Vivant","Grand Rapids, MI","Rye Beer","16 oz.","6.6%","N/A"
"225","Mind Games","Brewery Vivant","Grand Rapids, MI","Dunkelweizen","16 oz.","4.1%","N/A"
"226","Coconoats","Burn 'Em Brewing","Michigan City, IN","American Pale Wheat Ale","16 oz.","6.5%","N/A"
"227","Union Jack","Firestone Walker Brewing Company","Paso Robles, CA","American IPA","12 oz.","7.5%","75"
"228","Pivo Pils","Firestone Walker Brewing Company","Paso Robles, CA","German Pilsener","12 oz.","5.3%","N/A"
"229","Autumn Winds Fest Beer","Grey Sail Brewing Company","Westerly, RI","Märzen / Oktoberfest","16 oz","5.8%","N/A"
"230","India Pale Ale","Kirkwood Station Brewing Company","Kirkwood, MO","American IPA","16 oz.","6.3%","65"
"231","Blackberry Wheat","Kirkwood Station Brewing Company","Kirkwood, MO","American Pale Wheat Ale","16 oz.","4.8%","11"
"232","Chupahopra","Twisted X Brewing Company","Dripping Springs, TX","American IPA","12 oz.","7.5%","63"
"233","312 Urban Pale Ale","Goose Island Brewing Company","Chicago, IL","American Pale Ale (APA)","16 oz.","5.4%","30"
"234","Broad Brook Ale","Broad Brook Brewing LLC","East Windsor, CT","American Amber / Red Ale","16 oz.","6.1%","N/A"
"235","Lionshead","The Lion Brewery","Wilkes-Barre, PA","American Pilsner","12 oz.","4.5%","N/A"
"236","Galaxy High","Madtree Brewing Company","Cincinnati, OH","American Double / Imperial IPA","12 oz.","9.9%","N/A"
"237","Razz Wheat","Jackie O's Pub & Brewery","Athens, OH","Fruit / Vegetable Beer","12 oz.","5.5%","N/A"
"238","Hustle","Rhinegeist Brewery","Cincinnati, OH","American Amber / Red Ale","12 oz.","5.7%","42"
"239","Pure Fury","Rhinegeist Brewery","Cincinnati, OH","American Pale Ale (APA)","12 oz.","5.5%","42"
"240","Self Starter","Warped Wing Brewing Company","Dayton, OH","American IPA","16 oz.","5.2%","67"
"241","Flying Sailor","Blackrocks Brewery","Marquette, MA","Rye Beer","12 oz.","7.3%","N/A"
"242","Reactor","Tapistry Brewing","Bridgman, MI","American IPA","16 oz.","7.0%","N/A"
"243","Mr. Orange","Tapistry Brewing","Bridgman, MI","Witbier","16 oz.","5.7%","N/A"
"244","Peanut Butter Jelly Time","Catawba Valley Brewing Company","Morganton, NC","American Brown Ale","12 oz.","5.8%","N/A"
"245","Troegenator","Tröegs Brewing Company","Hershey, PA","Doppelbock","16 oz.","8.2%","N/A"
"246","Nugget Nectar","Tröegs Brewing Company","Hershey, PA","American Amber / Red Ale","16 oz.","7.5%","93"
"247","Abigale","Sixpoint Craft Ales","Brooklyn, NY","Belgian Pale Ale","12 oz.","8.0%","N/A"
"248","Cortez Gold","Mission Brewery","San Diego, CA","Belgian Pale Ale","32 oz.","5.0%","N/A"
"249","Mission IPA","Mission Brewery","San Diego, CA","American IPA","32 oz.","6.8%","66"
"250","Bay of Bengal Double IPA (2014)","Christian Moerlein Brewing Company","Cincinnati, OH","American Double / Imperial IPA","12 oz.","8.9%","126"
