"","Beer","Brewery","Location","Style","Size","ABV","IBU"
"1961","Outlaw IPA (2015)","Two Brothers Brewing Company","Warrenville, IL","American IPA","12 oz.","6.5%","N/A"
"1962","Hoppy Boy","Twisted Pine Brewing Company","Boulder, CO","American IPA","16 oz.","6.2%","65"
"1963","Hipster Ale (Westbrook Brewing)","Evil Twin Brewing","Brooklyn, NY","American Pale Ale (APA)","12 oz.","5.5%","N/A"
"1964","Cherry Ale (1)","Great Crescent Brewery","Aurora, IN","Fruit / Vegetable Beer","16 oz.","5.7%","18"
"1965","White Zombie Ale","Catawba Brewing Company","Morganton, NC","Witbier","12 oz.","4.7%","N/A"
"1966","Monkeynaut IPA","Straight to Ale","Huntsville, AL","American IPA","12 oz.","7.2%","70"
"1967","Ryeteous Rye IPA (2012)","Renegade Brewing Company","Denver, CO","American IPA","16 oz.","7.0%","100"
"1968","Firestarter India Pale Ale","Bonfire Brewing Company","Eagle, CO","American IPA","16 oz.","6.6%","72"
"1969","House Brand IPA","Big River Brewing Company","Chattanooga, TN","American IPA","12 oz.","6.0%","55"
"1970","Flagship Ale","Grey Sail Brewing of Rhode Island","Westerly, RI","Cream Ale","12 oz.","4.9%","22"
"1971","Apollo","Sixpoint Craft Ales","Brooklyn, NY","American Pale Wheat Ale","16 oz.","5.2%","11"
"1972","Harbinger","Sixpoint Craft Ales","Brooklyn, NY","Saison / Farmhouse Ale","16 oz.","4.9%","35"
"1973","Resin","Sixpoint Craft Ales","Brooklyn, NY","American Double / Imperial IPA","12 oz.","9.1%","103"
"1974","Kludde","Brewery Vivant","Grand Rapids, MI","Belgian Strong Dark Ale","16 oz.","8.5%","N/A"
"1975","Aurora Lager (2011)","Great Crescent Brewery","Aurora, IN","Dortmunder / Export Lager","16 oz.","5.7%","27"
"1976","Desert Magic IPA","Mudshark Brewing Company","Lake Havasu City, AZ","American IPA","12 oz.","7.2%","N/A"
"1977","TailGate Hefeweizen","TailGate Beer","San Diego, CA","Hefeweizen","24 oz.","4.9%","28"
"1978","Blacktop Blonde","TailGate Beer","San Diego, CA","American Blonde Ale","24 oz.","5.0%","19"
"1979","B3K Black Lager","Wynkoop Brewing Company","Denver, CO","Schwarzbier","12 oz.","5.5%","N/A"
"1980","Wachusett Blueberry Ale","Wachusett Brewing Company","Westminster, MA","Fruit / Vegetable Beer","12 oz.","4.5%","10"
"1981","Green Monsta IPA","Wachusett Brewing Company","Westminster, MA","American IPA","12 oz.","6.0%","55"
"1982","Zonker Stout","Snake River Brewing Company","Jackson, WY","Foreign / Export Stout","12 oz.","5.4%","36"
"1983","Oregon Trail Unfiltered Raspberry Wheat","High Noon Saloon And Brewery","Leavenworth, KS","Fruit / Vegetable Beer","12 oz.","4.5%","N/A"
"1984","Frosted Fields Winter Wheat","Great Crescent Brewery","Aurora, IN","American Dark Wheat Ale","16 oz.","6.0%","25"
"1985","Upslope Foreign Style Stout","Upslope Brewing Company","Boulder, CO","Foreign / Export Stout","12 oz.","6.9%","N/A"
"1986","Mountain Livin' Pale Ale","Crazy Mountain Brewing Company","Edwards, CO","American Pale Ale (APA)","12 oz.","6.0%","N/A"
"1987","1327 Pod's ESB","Blue Blood Brewing Company","Lincoln, NE","Extra Special / Strong Bitter (ESB)","12 oz.","5.6%","37"
"1988","834 Happy As Ale","Blue Blood Brewing Company","Lincoln, NE","American Pale Ale (APA)","12 oz.","4.6%","35"
"1989","UFO White","Harpoon Brewery","Boston, MA","American Pale Wheat Ale","12 oz.","4.8%","10"
"1990","Rosa Hibiscus Ale","Revolution Brewing Company","Chicago, IL","Herbed / Spiced Beer","12 oz.","5.8%","15"
"1991","Snake Dog IPA","Flying Dog Brewery","Frederick, MD","American IPA","12 oz.","7.1%","60"
"1992","Underdog Atlantic Lager","Flying Dog Brewery","Frederick, MD","American Pale Lager","12 oz.","4.7%","28"
"1993","Scotty K NA","Uncommon Brewers","Santa Cruz, CA","Low Alcohol Beer","16 oz.","0.1%","N/A"
"1994","Midwest Charm Farmhouse Ale","Okoboji Brewing Company","Spirit Lake, IA","Saison / Farmhouse Ale","16 oz.","6.0%","29"
"1995","Boji Blue Pale Ale","Okoboji Brewing Company","Spirit Lake, IA","American Pale Ale (APA)","16 oz.","5.0%","45"
"1996","Winter Games Select #32 Stout","Okoboji Brewing Company","Spirit Lake, IA","American Stout","16 oz.","5.7%","26"
"1997","Boji Beach Golden Rye Ale","Okoboji Brewing Company","Spirit Lake, IA","Rye Beer","16 oz.","5.0%","23"
"1998","Santa Fe Irish Red Ale","Santa Fe Brewing Company","Santa Fe, NM","Irish Red Ale","12 oz.","4.5%","N/A"
"1999","This Season's Blonde","Aspen Brewing Company","Aspen, CO","American Blonde Ale","12 oz.","5.6%","27"
"2000","Independence Pass Ale","Aspen Brewing Company","Aspen, CO","American IPA","12 oz.","7.0%","67"
