Beer,Brewery,State,Region,Style_RAW,Style_12,Style_05,Size,ABV,IBU
Here Gose Nothin,Destihl Brewery,IL,Midwest,Gose,Sour,Other,12,5.0,12
Pail Ale,Chapmans Brewing,IN,Midwest,American Pale Ale APA,Pale Ale,Ale,16,5.5,30
Operation Homefront,Cigar City Brewing Company,FL,South,American IPA,IPA,Strong Ale,12,6.2,65
Wandering Pelican,Cigar City Brewing Company,FL,South,American Black Ale,Dark Ale,Dark,12,8.2,65
Norms Gateway IPA,Griffin Claw Brewing Company,MI,Midwest,American IPA,IPA,Strong Ale,12,4.0,55
Barrio Blanco,Barrio Brewing Company,AZ,West,American IPA,IPA,Strong Ale,12,6.0,60
Fistful Of Hops Red,Sun King Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,16,6.4,75
Fistful of Hops Orange,Sun King Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,16,6.3,75
Fistful Of Hops Blue,Sun King Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,16,6.4,75
Fistful of Hops Green,Sun King Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,16,6.4,75
Shift,New Belgium Brewing Company,CO,West,American Pale Lager,Lager,Lager,12,5.0,29
Bitter Bitch,18th Street Brewery,IN,Midwest,American Pale Ale APA,Pale Ale,Ale,12,6.1,60
1554 Black Lager,New Belgium Brewing Company,CO,West,Euro Dark Lager,Lager,Lager,12,5.6,21
LuckenBock,South Austin Brewery,TX,South,Bock,German Lager,Lager,16,7.0,18
Texas Pale Ale TPA,South Austin Brewery,TX,South,American IPA,IPA,Strong Ale,16,5.5,40
Kol Beer,South Austin Brewery,TX,South,Klsch,German Ale,Ale,16,5.0,22
FMB 101,Figueroa Mountain Brewing Company,CA,West,Klsch,German Ale,Ale,12,4.8,20
SkyFive,Bauhaus Brew Labs,MN,Midwest,American IPA,IPA,Strong Ale,12,6.7,70
Stargrazer,Bauhaus Brew Labs,MN,Midwest,Schwarzbier,German Lager,Lager,12,5.0,28
Wonderstuff,Bauhaus Brew Labs,MN,Midwest,German Pilsener,German Lager,Lager,12,5.4,48
Sensi Harvest,Sixpoint Craft Ales,NY,Northeast,American Pale Ale APA,Pale Ale,Ale,12,4.7,50
Ozark American Pale Ale,Ozark Beer Company,AR,South,American Pale Ale APA,Pale Ale,Ale,12,4.0,39
Ghost Ship White IPA,Capital Brewery,WI,Midwest,American IPA,IPA,Strong Ale,12,5.6,55
Upland Wheat Ale,Upland Brewing Company,IN,Midwest,Witbier,Belgian,Ale,16,4.5,15
Overgrown American Pale Ale,Otter Creek Brewing,VT,Northeast,American Pale Ale APA,Pale Ale,Ale,12,5.5,55
Almanac IPA,Tractor Brewing Company,NM,West,American IPA,IPA,Strong Ale,12,6.2,72
Zen,Rhinegeist Brewery,OH,Midwest,American Pale Ale APA,Pale Ale,Ale,12,4.3,45
SunSpot Golden Ale,SanTan Brewing Company,AZ,West,American Blonde Ale,Pale Ale,Ale,12,5.0,15
Missile IPA,Champion Brewing Company,VA,South,American IPA,IPA,Strong Ale,12,7.0,65
Thai Style White IPA,Upslope Brewing Company,CO,West,American White IPA,IPA,Strong Ale,12,6.5,33
Summer Session Ale,Peak Organic Brewing Company,ME,Northeast,American Pale Wheat Ale,Pale Ale,Ale,12,5.0,61
Long Trail IPA,Long Trail Brewing Company,VT,Northeast,English India Pale Ale IPA,IPA,Strong Ale,12,5.9,42
Trader Session IPA,Uinta Brewing Company,UT,West,American IPA,IPA,Strong Ale,12,4.0,42
Commotion APA,Great Raft Brewing Company,LA,South,American Pale Ale APA,Pale Ale,Ale,12,5.2,49
Freeride APA,Alaskan Brewing Company,AK,West,American Pale Ale APA,Pale Ale,Ale,12,5.3,40
Alaskan Amber,Alaskan Brewing Company,AK,West,Altbier,German Ale,Ale,12,5.3,18
40 Mile IPA,Three Notchd Brewing Company,VA,South,American IPA,IPA,Strong Ale,12,6.0,50
Lake House,Capital Brewery,WI,Midwest,Munich Helles Lager,German Lager,Lager,16,4.6,18
Fresh Slice White IPA,Otter Creek Brewing,VT,Northeast,American White IPA,IPA,Strong Ale,12,5.5,45
Montauk Summer Ale,Montauk Brewing Company,NY,Northeast,American Blonde Ale,Pale Ale,Ale,12,5.6,28
Sierra Nevada Pale Ale,Sierra Nevada Brewing Company,CA,West,American Pale Ale APA,Pale Ale,Ale,16,5.6,37
White Rabbit,Independence Brewing Company,TX,South,Witbier,Belgian,Ale,12,5.9,27
Let It Ride IPA,Indeed Brewing Company,MN,Midwest,American IPA,IPA,Strong Ale,12,6.8,90
Bent Hop Golden IPA,Bent Paddle Brewing Company,MN,Midwest,American IPA,IPA,Strong Ale,12,6.2,68
Blackmarket Rye IPA,Black Market Brewing Company,CA,West,American IPA,IPA,Strong Ale,12,7.5,35
Black Market Hefeweizen,Black Market Brewing Company,CA,West,Hefeweizen,German Ale,Ale,12,5.0,8
Aftermath Pale Ale,Black Market Brewing Company,CA,West,American Pale Ale APA,Pale Ale,Ale,12,5.8,44
Groupe G,Headlands Brewing Company,CA,West,Belgian IPA,IPA,Strong Ale,16,7.6,65
Pt Bonita Rustic Lager,Headlands Brewing Company,CA,West,American Pale Lager,Lager,Lager,16,6.2,40
Longhop IPA,Bolero Snort Brewery,NJ,Northeast,American IPA,IPA,Strong Ale,16,4.2,30
Lucky Buck,Bolero Snort Brewery,NJ,Northeast,Irish Dry Stout,Stout - Porter,Dark,16,4.0,34
Abbeys Single Ale Current,Destihl Brewery,IL,Midwest,Abbey Single Ale,Belgian,Ale,12,4.9,22
Thrasher Session India Pale Ale,Defiance Brewing Company,KS,Midwest,American IPA,IPA,Strong Ale,12,4.5,44
Gutch English Style Mild Ale,Defiance Brewing Company,KS,Midwest,English Pale Mild Ale,Pale Ale,Ale,12,5.0,16
Whitecap Wit,Catawba Island Brewing,OH,Midwest,Witbier,Belgian,Ale,16,4.8,16
Seiche Scottish Ale,Catawba Island Brewing,OH,Midwest,Scottish Ale,Strong Ale,Strong Ale,16,7.8,16
Naked Pig Pale Ale,Back Forty Beer Company,AL,South,American Pale Ale APA,Pale Ale,Ale,12,6.0,43
El Chingon IPA,Four Corners Brewing Company,TX,South,American IPA,IPA,Strong Ale,12,7.6,73
Local Buzz,Four Corners Brewing Company,TX,South,American Blonde Ale,Pale Ale,Ale,12,5.2,20
Saint Archer White Ale,Saint Archer Brewery,CA,West,Witbier,Belgian,Ale,12,5.0,15
Saint Archer IPA,Saint Archer Brewery,CA,West,American IPA,IPA,Strong Ale,12,6.8,66
Saint Archer Pale Ale,Saint Archer Brewery,CA,West,American Pale Ale APA,Pale Ale,Ale,12,5.2,40
Saint Archer Blonde,Saint Archer Brewery,CA,West,Klsch,German Ale,Ale,12,4.8,22
BLAKKR,Real Ale Brewing Company,TX,South,American Black Ale,Dark Ale,Dark,12,9.9,85
Supergoose IPA,Hales Ales,WA,West,American IPA,IPA,Strong Ale,12,6.9,67
IPA  a Half,Tommyknocker Brewery,CO,West,American IPA,IPA,Strong Ale,12,7.3,87
Truth,Rhinegeist Brewery,OH,Midwest,American IPA,IPA,Strong Ale,12,7.2,75
Cougar,Rhinegeist Brewery,OH,Midwest,American Blonde Ale,Pale Ale,Ale,12,4.8,25
American India Red Ale,Black Shirt Brewing Company,CO,West,American Strong Ale,Strong Ale,Strong Ale,12,7.1,83
Original Slacker Ale,Round Guys Brewing,PA,Northeast,English Brown Ale,Dark Ale,Dark,12,5.6,40
Hefe Lemon,Widmer Brothers Brewing Company,OR,West,Radler,Other,Other,12,4.9,30
Hefe Black,Widmer Brothers Brewing Company,OR,West,Hefeweizen,German Ale,Ale,12,4.9,30
Widmer Brothers Hefeweizen,Widmer Brothers Brewing Company,OR,West,Hefeweizen,German Ale,Ale,12,4.9,30
One Nut Brown,Hop Farm Brewing Company,PA,Northeast,American Brown Ale,Dark Ale,Dark,12,4.7,28
Hop Farm IPA,Hop Farm Brewing Company,PA,Northeast,American IPA,IPA,Strong Ale,12,5.8,45
Adams Stout,Liquid Hero Brewery,PA,Northeast,American Stout,Stout - Porter,Dark,12,5.8,40
Our Legacy IPA,Matt Brewing Company,NY,Northeast,American IPA,IPA,Strong Ale,12,6.5,60
312 Urban Wheat Ale,Goose Island Brewing Company,IL,Midwest,American Pale Wheat Ale,Pale Ale,Ale,12,4.2,18
LIFT,Madtree Brewing Company,OH,Midwest,Klsch,German Ale,Ale,12,4.7,11
SPRYE,Madtree Brewing Company,OH,Midwest,American Pale Ale APA,Pale Ale,Ale,12,5.0,40
Pleasure Town IPA,Midnight Sun Brewing Company,AK,West,American IPA,IPA,Strong Ale,12,6.3,61
The Tradition,DC Brau Brewing Company,DC,South,American Blonde Ale,Pale Ale,Ale,12,5.0,15
Rodeo Rye Pale Ale,Payette Brewing Company,ID,West,American Pale Ale APA,Pale Ale,Ale,12,4.2,35
Last Stop IPA,Brew Bus Brewing,FL,South,American IPA,IPA,Strong Ale,12,7.2,60
Are Wheat There Yet,Brew Bus Brewing,FL,South,American Pale Wheat Ale,Pale Ale,Ale,12,5.5,28
Filthy Hoppin IPA,Dirty Bucket Brewing Company,WA,West,American IPA,IPA,Strong Ale,16,6.5,72
Thunder Ann,Jackalope Brewing Company,TN,South,American Pale Ale APA,Pale Ale,Ale,12,5.5,37
On the Count of 3 2015,Baxter Brewing Company,ME,Northeast,Hefeweizen,German Ale,Ale,16,7.0,42
2020 IPA,Golden Road Brewing,CA,West,American IPA,IPA,Strong Ale,16,7.4,74
Hijack,Infamous Brewing Company,TX,South,Cream Ale,Pale Ale,Ale,12,5.5,20
Jacaranada Rye IPA,Claremont Craft Ales,CA,West,American IPA,IPA,Strong Ale,16,6.7,60
Lil SIPA,Rivertown Brewing Company,OH,Midwest,American IPA,IPA,Strong Ale,16,5.0,55
Voodoo Love Child,Voodoo Brewery,PA,Northeast,Tripel,Belgian,Ale,12,9.2,25
White Magick of the Sun,Voodoo Brewery,PA,Northeast,Witbier,Belgian,Ale,12,7.9,23
Stone Fort Brown Ale,Seventh Son Brewing Company,OH,Midwest,English Brown Ale,Dark Ale,Dark,16,5.3,20
Humulus Nimbus Super Pale Ale,Seventh Son Brewing Company,OH,Midwest,American Pale Ale APA,Pale Ale,Ale,16,6.0,53
Golden Ratio IPA,Seventh Son Brewing Company,OH,Midwest,American IPA,IPA,Strong Ale,16,7.0,68
GreyBeard IPA,Pisgah Brewing Company,NC,South,American IPA,IPA,Strong Ale,12,6.9,51
Pisgah Pale Ale,Pisgah Brewing Company,NC,South,American Pale Ale APA,Pale Ale,Ale,12,5.7,31
Juke Joint IPA,Tin Roof Brewing Company,LA,South,American IPA,IPA,Strong Ale,12,7.0,60
Just IPA,The Just Beer Project,VT,Northeast,American IPA,IPA,Strong Ale,12,4.6,45
Bronx Summer Pale Ale,The Bronx Brewery,NY,Northeast,American Pale Ale APA,Pale Ale,Ale,16,5.2,16
Bronx Black Pale Ale,The Bronx Brewery,NY,Northeast,American Black Ale,Dark Ale,Dark,16,5.7,46
A Slice of Hefen,La Cumbre Brewing Company,NM,West,Hefeweizen,German Ale,Ale,16,5.4,15
Le Mort Vivant,Southern Star Brewing Company,TX,South,Bire de Garde,Ale - Other,Ale,12,6.9,23
BLAKKR,Surly Brewing Company,MN,Midwest,American Black Ale,Dark Ale,Dark,16,9.9,85
805,Firestone Walker Brewing Company,CA,West,American Blonde Ale,Pale Ale,Ale,12,4.7,20
Wynonas Big Brown Ale,Voodoo Brewery,PA,Northeast,American Brown Ale,Dark Ale,Dark,12,7.5,31
Gran Met,Voodoo Brewery,PA,Northeast,Belgian Strong Pale Ale,Belgian,Ale,12,9.2,25
Hopped on the High Seas Hop 529,Cigar City Brewing Company,FL,South,American IPA,IPA,Strong Ale,12,7.0,60
Hopped on the High Seas Calypso,Cigar City Brewing Company,FL,South,American IPA,IPA,Strong Ale,12,7.0,60
Hop Nosh IPA,Uinta Brewing Company,UT,West,American IPA,IPA,Strong Ale,12,7.3,83
Iron Horse Pale Ale,Fargo Brewing Company,ND,Midwest,American Pale Ale APA,Pale Ale,Ale,12,5.0,32
Firemans 4 Blonde Ale 2013,Real Ale Brewing Company,TX,South,American Blonde Ale,Pale Ale,Ale,12,5.1,21
Big Sky IPA,Big Sky Brewing Company,MT,West,American IPA,IPA,Strong Ale,12,6.2,65
Scape Goat Pale Ale,Big Sky Brewing Company,MT,West,English Pale Ale,Pale Ale,Ale,12,5.0,40
Montana Trout Slayer Ale,Big Sky Brewing Company,MT,West,American Pale Wheat Ale,Pale Ale,Ale,12,5.0,35
Moose Drool Brown Ale,Big Sky Brewing Company,MT,West,American Brown Ale,Dark Ale,Dark,12,5.1,26
Wick For Brains,Nebraska Brewing Company,NE,Midwest,Pumpkin Ale,Ale - Other,Ale,12,6.1,11
Great Crescent IPA,Great Crescent Brewery,IN,Midwest,American IPA,IPA,Strong Ale,16,6.2,60
Great Crescent Blonde Ale,Great Crescent Brewery,IN,Midwest,American Blonde Ale,Pale Ale,Ale,16,5.3,22
Wolf Among Weeds IPA,Golden Road Brewing,CA,West,American IPA,IPA,Strong Ale,16,8.0,70
DryHopped On The High Seas CaribbeanStyle IPA,Cigar City Brewing Company,FL,South,American IPA,IPA,Strong Ale,12,7.0,60
Hopped on the High Seas Citra,Cigar City Brewing Company,FL,South,American IPA,IPA,Strong Ale,12,7.0,60
Hopped on the High Seas Ahtanum,Cigar City Brewing Company,FL,South,American IPA,IPA,Strong Ale,12,7.0,60
Stir Crazy Winter Ale,Indeed Brewing Company,MN,Midwest,Winter Warmer,Dark Ale,Dark,12,6.5,22
Irregardless IPA,Liquid Hero Brewery,PA,Northeast,American IPA,IPA,Strong Ale,12,6.5,75
Category 3 IPA,Due South Brewing Company,FL,South,American IPA,IPA,Strong Ale,12,6.1,64
KelSo Nut Brown Lager,KelSo Beer Company,NY,Northeast,Euro Dark Lager,Lager,Lager,12,5.7,19
The Great Return,Hardywood Park Craft Brewery,VA,South,American IPA,IPA,Strong Ale,16,7.5,70
Troopers Alley IPA,Wolf Hills Brewing Company,VA,South,American IPA,IPA,Strong Ale,12,5.9,135
Madra Allta,Lavery Brewing Company,PA,Northeast,American IPA,IPA,Strong Ale,12,6.4,95
Manzanita IPA,Manzanita Brewing Company,CA,West,American IPA,IPA,Strong Ale,12,8.0,88
Riverwalk Blonde Ale,Manzanita Brewing Company,CA,West,American Blonde Ale,Pale Ale,Ale,12,6.0,25
Gillespie Brown Ale,Manzanita Brewing Company,CA,West,American Brown Ale,Dark Ale,Dark,12,9.5,49
Manzanita Pale Ale,Manzanita Brewing Company,CA,West,American Pale Ale APA,Pale Ale,Ale,12,6.6,44
Overcast Espresso Stout,Oakshire Brewing,OR,West,American Stout,Stout - Porter,Dark,12,5.8,27
King Street IPA,King Street Brewing Company,AK,West,American IPA,IPA,Strong Ale,12,6.0,70
King Street Hefeweizen,King Street Brewing Company,AK,West,Hefeweizen,German Ale,Ale,12,5.7,10
Sobek  Set,Finchs Beer Company,IL,Midwest,American Black Ale,Dark Ale,Dark,16,8.0,80
Wet Hot American Wheat Ale,Finchs Beer Company,IL,Midwest,American Pale Wheat Ale,Pale Ale,Ale,16,5.0,22
Trailhead ISA,Two Beers Brewing Company,WA,West,American IPA,IPA,Strong Ale,12,4.8,48
Evo IPA,Two Beers Brewing Company,WA,West,American IPA,IPA,Strong Ale,12,6.2,70
Hop Bomber Rye Pale Ale,Rivertown Brewing Company,OH,Midwest,American Pale Ale APA,Pale Ale,Ale,16,5.5,60
Lucky Day IPA,Central Coast Brewing Company,CA,West,American IPA,IPA,Strong Ale,16,7.2,85
Catch 23,Central Coast Brewing Company,CA,West,American Black Ale,Dark Ale,Dark,16,7.5,77
Better Weather IPA,Golden Road Brewing,CA,West,American IPA,IPA,Strong Ale,16,9.4,92
Night Cat 2014,Two Brothers Brewing Company,IL,Midwest,American Dark Wheat Ale,Dark Ale,Dark,12,5.8,43
Belgian Style Session Ale,Manayunk Brewing Company,PA,Northeast,Belgian Pale Ale,Pale Ale,Ale,12,4.5,21
Jam Session,NoDa Brewing Company,NC,South,American Pale Ale APA,Pale Ale,Ale,16,5.1,31
Hop Drop N Roll IPA,NoDa Brewing Company,NC,South,American IPA,IPA,Strong Ale,16,7.2,80
Pumpkin Beast,Aviator Brewing Company,NC,South,Pumpkin Ale,Ale - Other,Ale,12,6.2,17
The 12th Can,Hilliards Beer,WA,West,American Pale Ale APA,Pale Ale,Ale,16,4.5,32
Half Cycle IPA,Flat 12 Bierwerks,IN,Midwest,American IPA,IPA,Strong Ale,16,6.0,104
Initial Point India Pale Ale,Slanted Rock Brewing Company,ID,West,American IPA,IPA,Strong Ale,12,7.1,92
Global Warmer,Sixpoint Craft Ales,NY,Northeast,American Strong Ale,Strong Ale,Strong Ale,12,7.0,70
Snow King Pale Ale,Snake River Brewing Company,WY,West,American Pale Ale APA,Pale Ale,Ale,12,6.0,55
Festeroo Winter Ale,Hop Valley Brewing Company,OR,West,American Strong Ale,Strong Ale,Strong Ale,12,7.8,60
Good Vibes IPA,Voodoo Brewery,PA,Northeast,American IPA,IPA,Strong Ale,12,7.3,85
Dagger Falls IPA,Sockeye Brewing Company,ID,West,American IPA,IPA,Strong Ale,12,6.3,100
Dagger Falls IPA,Sockeye Brewing Company,ID,West,American IPA,IPA,Strong Ale,12,6.3,100
Maylanis Coconut Stout,Airways Brewing Company,WA,West,American Stout,Stout - Porter,Dark,16,5.3,35
Autumnation 2013,Sixpoint Craft Ales,NY,Northeast,American IPA,IPA,Strong Ale,16,6.7,74
Sly Fox Christmas Ale 2013,Sly Fox Brewing Company,PA,Northeast,Winter Warmer,Dark Ale,Dark,12,5.5,16
Scruffys Smoked Alt,Cedar Creek Brewery,TX,South,Smoked Beer,Other,Other,16,5.1,35
Hammer  Sickle,Renegade Brewing Company,CO,West,Russian Imperial Stout,Stout - Porter,Dark,12,9.0,60
Trolley Stop Stout,Astoria Brewing Company,OR,West,American Stout,Stout - Porter,Dark,12,5.7,40
Lahaina Town Brown,Maui Brewing Company,HI,West,American Brown Ale,Dark Ale,Dark,12,5.1,20
12th Round,RoughTail Brewing Company,OK,South,American Strong Ale,Strong Ale,Strong Ale,16,7.6,78
RoughTail IPA,RoughTail Brewing Company,OK,South,American IPA,IPA,Strong Ale,16,7.0,80
Barrel Aged Farmer,Great River Brewery,IA,Midwest,American Brown Ale,Dark Ale,Dark,16,7.0,22
KelSo India Pale Ale,KelSo Beer Company,NY,Northeast,American IPA,IPA,Strong Ale,12,6.0,64
Slow Hand Stout,Lucette Brewing Company,WI,Midwest,American Stout,Stout - Porter,Dark,16,5.2,29
Centennial IPA,Founders Brewing Company,MI,Midwest,American IPA,IPA,Strong Ale,12,7.2,65
Grandmas Pecan,The Dudes Brewing Company,CA,West,English Brown Ale,Dark Ale,Dark,16,6.9,34
Mother in Lager,Karbach Brewing Company,TX,South,Munich Dunkel Lager,German Lager,Lager,12,5.8,25
Weekend Warrior Pale Ale,Karbach Brewing Company,TX,South,American Pale Ale APA,Pale Ale,Ale,12,5.5,40
Batch 69 IPA,Frankenmuth Brewery,MI,Midwest,American IPA,IPA,Strong Ale,12,6.9,69
Dog Days Summer Ale,Round Guys Brewing,PA,Northeast,Klsch,German Ale,Ale,12,4.5,28
Farmer Wirtz India Pale Ale,Bonfire Brewing Company,CO,West,English India Pale Ale IPA,IPA,Strong Ale,16,7.0,94
Full Nelson Pale Ale,Blue Mountain Brewery,VA,South,American Pale Ale APA,Pale Ale,Ale,12,5.9,60
Blue Mountain Classic Lager,Blue Mountain Brewery,VA,South,Euro Pale Lager,Lager,Lager,12,5.3,22
Starr Pils,Starr Hill Brewery,VA,South,German Pilsener,German Lager,Lager,12,4.2,20
Proxima IPA,Hop Valley Brewing Company,OR,West,American IPA,IPA,Strong Ale,12,6.3,70
Monkey Fist IPA,Shipyard Brewing Company,ME,Northeast,American IPA,IPA,Strong Ale,12,6.9,65
Ten Fidy,Oskar Blues Brewery North Carol,NC,South,Russian Imperial Stout,Stout - Porter,Dark,12,9.9,98
Agave Wheat,Breckenridge Brewery,CO,West,American Pale Wheat Ale,Pale Ale,Ale,12,4.2,9
Modus Hoperandi,Ska Brewing Company,CO,West,American IPA,IPA,Strong Ale,12,6.8,65
Barney Flats Oatmeal Stout,Anderson Valley Brewing Company,CA,West,Oatmeal Stout,Stout - Porter,Dark,12,5.7,13
Easy Day Kolsch,Worthy Brewing Company,OR,West,Klsch,German Ale,Ale,12,4.5,25
Worthy IPA 2013,Worthy Brewing Company,OR,West,American IPA,IPA,Strong Ale,12,6.9,69
Worthy Pale,Worthy Brewing Company,OR,West,American Pale Ale APA,Pale Ale,Ale,12,6.0,50
Troegenator Doublebock,Tregs Brewing Company,PA,Northeast,Doppelbock,German Lager,Lager,16,8.2,25
Perpetual IPA,Tregs Brewing Company,PA,Northeast,American IPA,IPA,Strong Ale,12,7.5,85
Gator Tail Brown Ale,Miami Brewing Company,FL,South,American Brown Ale,Dark Ale,Dark,12,5.3,30
Miami Vice IPA,Miami Brewing Company,FL,South,American IPA,IPA,Strong Ale,12,7.1,62
Flying Jenny Extra Pale Ale,Grey Sail Brewing of Rhode Island,RI,Northeast,American Pale Ale APA,Pale Ale,Ale,12,6.0,54
Country Boy IPA,Everybodys Brewing,WA,West,American IPA,IPA,Strong Ale,12,6.2,80
Fortunate Islands,Modern Times Beer,CA,West,American Pale Wheat Ale,Pale Ale,Ale,16,4.7,46
Black House,Modern Times Beer,CA,West,American Stout,Stout - Porter,Dark,16,5.8,40
Point the Way IPA,Golden Road Brewing,CA,West,American IPA,IPA,Strong Ale,16,5.9,60
Golden Road Hefeweizen,Golden Road Brewing,CA,West,Hefeweizen,German Ale,Ale,16,4.6,15
Falling Down Brown Ale,Old Forge Brewing Company,PA,Northeast,American Brown Ale,Dark Ale,Dark,16,6.5,65
Summer Paradise,Manayunk Brewing Company,PA,Northeast,American Pale Wheat Ale,Pale Ale,Ale,12,5.0,18
51K IPA,Blackrocks Brewery,MI,Midwest,American IPA,IPA,Strong Ale,12,7.0,51
CAPT Black IPA,Ruhstaller Beer Company,CA,West,American Black Ale,Dark Ale,Dark,12,7.3,55
Oval Beach Blonde Ale,Saugatuck Brewing Company,MI,Midwest,American Blonde Ale,Pale Ale,Ale,16,5.0,11
Ananda India Pale Ale,Wiseacre Brewing Company,TN,South,American IPA,IPA,Strong Ale,12,6.2,61
Tiny Bomb,Wiseacre Brewing Company,TN,South,American Pilsner,Pale Ale,Ale,12,4.5,23
Wolverine Premium Lager,Wolverine State Brewing Company,MI,Midwest,American Pale Lager,Lager,Lager,12,4.7,15
Hideout Helles,Pug Ryans Brewery,CO,West,Munich Helles Lager,German Lager,Lager,12,6.9,17
Dead Eye Dunkel,Pug Ryans Brewery,CO,West,Munich Dunkel Lager,German Lager,Lager,12,6.0,15
Powder Hound Winter Ale,Big Sky Brewing Company,MT,West,English Strong Ale,Strong Ale,Strong Ale,12,7.2,60
Sudice American Stout,Fate Brewing Company,CO,West,American Stout,Stout - Porter,Dark,16,7.0,58
Parcae Belgian Style Pale Ale,Fate Brewing Company,CO,West,Belgian Pale Ale,Pale Ale,Ale,16,5.0,20
Norns Roggenbier,Fate Brewing Company,CO,West,Roggenbier,Ale - Other,Ale,16,5.0,20
Laimas Klsch Style Ale,Fate Brewing Company,CO,West,Klsch,German Ale,Ale,16,5.0,20
Moirai India Pale Ale,Fate Brewing Company,CO,West,American IPA,IPA,Strong Ale,16,7.0,70
Dales Pale Ale,Oskar Blues Brewery,CO,West,American Pale Ale APA,Pale Ale,Ale,12,6.5,65
F5 IPA,COOP Ale Works,OK,South,American IPA,IPA,Strong Ale,16,6.8,100
Boat Beer,Carton Brewing Company,NJ,Northeast,American IPA,IPA,Strong Ale,12,4.2,35
Stones Throw IPA,Fargo Brewing Company,ND,Midwest,Scottish Ale,Strong Ale,Strong Ale,12,4.5,19
Wood Chipper India Pale Ale,Fargo Brewing Company,ND,Midwest,American IPA,IPA,Strong Ale,12,6.7,70
Grapefruit Jungle GFJ,Sun King Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,16,7.5,77
Caldera Pale Ale,Caldera Brewing Company,OR,West,American Pale Ale APA,Pale Ale,Ale,12,5.6,55
Sand Island Lighthouse,Straight to Ale,AL,South,Klsch,German Ale,Ale,12,5.1,25
Klsch 151,Blue Mountain Brewery,VA,South,Klsch,German Ale,Ale,12,4.9,16
Tybee Island Blonde,Coastal Empire Beer Company,GA,South,American Blonde Ale,Pale Ale,Ale,12,4.7,17
Savannah Brown Ale,Coastal Empire Beer Company,GA,South,American Brown Ale,Dark Ale,Dark,12,6.2,55
Horny Monk,Petoskey Brewing,MI,Midwest,Dubbel,Belgian,Ale,16,6.9,20
Minds Eye PA,Petoskey Brewing,MI,Midwest,American IPA,IPA,Strong Ale,16,6.7,74
Ballast Point Pale Ale,Ballast Point Brewing Company,CA,West,Klsch,German Ale,Ale,12,5.2,23
Big Eye India Pale Ale,Ballast Point Brewing Company,CA,West,American IPA,IPA,Strong Ale,12,7.0,75
Heal the Bay IPA,Golden Road Brewing,CA,West,American IPA,IPA,Strong Ale,16,6.8,65
Pigwar White India Pale Ale,Hopworks Urban Brewery,OR,West,American White IPA,IPA,Strong Ale,16,6.0,60
TwoOne Niner,Laughing Dog Brewing Company,ID,West,American Pilsner,Pale Ale,Ale,12,4.8,9
Laughing Dog IPA,Laughing Dog Brewing Company,ID,West,American IPA,IPA,Strong Ale,12,6.4,66
Hazed  Infused,Boulder Beer Company,CO,West,American Pale Ale APA,Pale Ale,Ale,12,4.9,35
Old Forge Pumpkin Ale,Old Forge Brewing Company,PA,Northeast,Pumpkin Ale,Ale - Other,Ale,16,4.6,20
Cascadian Dark Ale,Coalition Brewing Company,OR,West,American Black Ale,Dark Ale,Dark,12,6.0,75
Sanitas Black IPA,Sanitas Brewing Company,CO,West,American Black Ale,Dark Ale,Dark,12,6.8,65
Double D Blonde 2013,Hop Valley Brewing Company,OR,West,American Blonde Ale,Pale Ale,Ale,12,4.9,20
Osiris Pale Ale,Sun King Brewing Company,IN,Midwest,American Pale Ale APA,Pale Ale,Ale,16,5.6,50
The Crisp,Sixpoint Craft Ales,NY,Northeast,German Pilsener,German Lager,Lager,16,5.4,42
Sweet Action,Sixpoint Craft Ales,NY,Northeast,Cream Ale,Pale Ale,Ale,16,5.2,34
Righteous Ale,Sixpoint Craft Ales,NY,Northeast,Rye Beer,Other,Other,16,6.3,57
Bengali Tiger,Sixpoint Craft Ales,NY,Northeast,American IPA,IPA,Strong Ale,16,6.4,62
Elephant Rock IPA,Pikes Peak Brewing Company,CO,West,American IPA,IPA,Strong Ale,12,7.0,75
Beaver Logger,Gore Range Brewery,CO,West,American Pale Lager,Lager,Lager,12,5.2,19
Crank Yanker IPA,Eddyline Brewery  Restaurant,CO,West,American IPA,IPA,Strong Ale,16,7.8,74
Bourbon Barrel Aged Timmie,Sun King Brewing Company,IN,Midwest,Russian Imperial Stout,Stout - Porter,Dark,16,9.9,75
Stupid Sexy Flanders,Sun King Brewing Company,IN,Midwest,Flanders Oud Bruin,Sour,Other,16,6.3,23
Grisette,Sly Fox Brewing Company,PA,Northeast,Grisette,Other,Other,12,5.6,25
Half Full Bright Ale,Half Full Brewery,CT,Northeast,American Blonde Ale,Pale Ale,Ale,12,5.2,18
Monk from the Yunk,Manayunk Brewing Company,PA,Northeast,Tripel,Belgian,Ale,12,9.0,30
541 American Lager,Hop Valley Brewing Company,OR,West,American Pale Lager,Lager,Lager,12,4.8,13
Alphadelic IPA,Hop Valley Brewing Company,OR,West,American IPA,IPA,Strong Ale,12,6.5,90
Grazias,Hess Brewing Company,CA,West,Cream Ale,Pale Ale,Ale,16,6.3,30
