Beer,Brewery,State,Region,Style_RAW,Style_12,Style_05,Size,ABV,IBU,ABV_Norm,IBU_Norm
Main St. Virginia Ale,Center of the Universe Brewing C...,VA,South,Altbier,German Ale,Ale,12,50.0,40,0.4,
Mr. Blue Sky,Griffin Claw Brewing Company,MI,Midwest,American Pale Wheat Ale,Pale Ale,Ale,16,45.0,6,0.36,
Weisse Versa (2012),Karbach Brewing Company,TX,South,Hefeweizen,German Ale,Ale,12,52.0,16,0.416,
The Green Room,Uncle Billy's Brewery and Smokeh...,TX,South,American IPA,IPA,Strong Ale,16,60.0,75,0.48,
18th Anniversary Gose,Real Ale Brewing Company,TX,South,Gose,Sour,Other,12,44.0,5,0.352,
Humbucker Helles,Uncle Billy's Brewery and Smokeh...,TX,South,Maibock / Helles Bock,German Lager,Lager,16,47.0,25,0.376,
Point Special (Current),Stevens Point Brewery,WI,Midwest,American Adjunct Lager,Lager,Lager,12,47.0,9,0.376,
Point Special,Stevens Point Brewery,WI,Midwest,American Adjunct Lager,Lager,Lager,12,47.0,9,0.376,
2014 IPA Cicada Series,Southern Prohibition Brewing Com...,MS,Midwest,American IPA,IPA,Strong Ale,16,75.0,72,0.6,
Morning Wood Wheat (Current),Pug Ryan's Brewery,CO,West,American Pale Wheat Ale,Pale Ale,Ale,12,59.0,14,0.472,
Old Soul,Crazy Mountain Brewing Company,CO,West,Belgian Strong Pale Ale,Belgian,Ale,12,75.0,25,0.6,
Extra Pale Ale,Summit Brewing Company,MN,Midwest,American Pale Ale (APA),Pale Ale,Ale,12,53.0,49,0.424,
Oklahoma Suks,Independence Brewing Company,TX,South,American Amber / Red Ale,Dark Ale,Dark,12,48.0,32,0.384,
Cubano Espresso,Cigar City Brewing Company,FL,South,Bock,German Lager,Lager,12,55.0,25,0.44,
Hunny Do Wheat,Third Street Brewhouse,MN,Midwest,American Pale Wheat Ale,Pale Ale,Ale,12,48.0,18,0.384,
Sinister Minister Black IPA,Southern Prohibition Brewing Com...,MS,Midwest,American IPA,IPA,Strong Ale,16,77.0,65,0.616,
Gansett Light,Narragansett Brewing Company,RI,Northeast,Light Lager,Lager,Lager,16,37.0,10,0.296,
O’Malley’s IPA,Weston Brewing Company,,,American IPA,IPA,Strong Ale,12,75.0,89,0.6,
L'il Lucy's Hot Pepper Ale,Weston Brewing Company,,,Chile Beer,Other,Other,12,49.0,28,0.392,
Little Red Cap,Grimm Brothers Brewhouse,CO,West,Altbier,German Ale,Ale,12,63.0,43,0.504,
Perpetual Darkness,Odyssey Beerwerks,CO,West,Belgian Strong Dark Ale,Belgian,Ale,12,92.0,72,0.736,
Clan Warrior,Odyssey Beerwerks,CO,West,Scotch Ale / Wee Heavy,Strong Ale,Strong Ale,12,87.0,29,0.696,
Watershed IPA,Oakshire Brewing,OR,West,American IPA,IPA,Strong Ale,12,67.0,70,0.536,
Peacemaker Pale Ale,Lonerider Brewing Company,NC,South,American Pale Ale (APA),Pale Ale,Ale,12,57.0,47,0.456,
Shotgun Betty,Lonerider Brewing Company,NC,South,Hefeweizen,German Ale,Ale,12,58.0,11,0.464,
Sweet Josie,Lonerider Brewing Company,NC,South,American Brown Ale,Dark Ale,Dark,12,61.0,30,0.488,
Ultra Gnar Gnar IPA,Base Camp Brewing Co.,OR,West,American IPA,IPA,Strong Ale,12,67.0,60,0.536,
Knotty Blonde Ale,Three Creeks Brewing,OR,West,American Blonde Ale,Pale Ale,Ale,12,40.0,18,0.32,
Hoodoo Voodoo IPA,Three Creeks Brewing,OR,West,American IPA,IPA,Strong Ale,12,62.0,82,0.496,
Hopportunity Knocks IPA,Caldera Brewing Company,OR,West,American IPA,IPA,Strong Ale,12,68.0,100,0.544,
Wild Trail Pale Ale,Greenbrier Valley Brewing Company,WV,South,American Pale Ale (APA),Pale Ale,Ale,12,57.0,44,0.456,
Mothman Black IPA,Greenbrier Valley Brewing Company,WV,South,American Black Ale,Dark Ale,Dark,12,67.0,71,0.536,
Camelback,Phoenix Ale Brewery,AZ,West,American IPA,IPA,Strong Ale,12,61.0,60,0.488,
PUNK'N,Uinta Brewing Company,UT,West,Pumpkin Ale,Ale - Other,Ale,12,50.0,10,0.4,
Sunbru Kölsch,Four Peaks Brewing Company,AZ,West,Kölsch,German Ale,Ale,12,52.0,17,0.416,
River House,Martin House Brewing Company,TX,South,Saison / Farmhouse Ale,Ale - Other,Ale,16,50.0,20,0.4,
Summer Brew,"Woodstock Inn, Station & Brewery",NH,Northeast,American Pilsner,Pale Ale,Ale,12,28.0,15,0.224,
Homefront IPA,Sly Fox Brewing Company,PA,Northeast,American IPA,IPA,Strong Ale,12,60.0,70,0.48,
Sundown,Round Guys Brewing,PA,Northeast,Saison / Farmhouse Ale,Ale - Other,Ale,12,71.0,36,0.568,
Beer Agent Re-Ignition,Great Crescent Brewery,IN,Midwest,American Blonde Ale,Pale Ale,Ale,16,53.0,22,0.424,
Pinner Throwback IPA,Oskar Blues Brewery,CO,West,American IPA,IPA,Strong Ale,12,49.0,35,0.392,
Power & Light,Independence Brewing Company,TX,South,American Pale Ale (APA),Pale Ale,Ale,12,55.0,42,0.44,
Devil's Harvest Extra Pale Ale,Southern Prohibition Brewing Com...,MS,Midwest,American Pale Ale (APA),Pale Ale,Ale,12,58.0,60,0.464,
Suzy B Dirty Blonde Ale,Southern Prohibition Brewing Com...,MS,Midwest,American Blonde Ale,Pale Ale,Ale,12,50.0,20,0.4,
The Golden One,High Hops Brewery,CO,West,American Pilsner,Pale Ale,Ale,12,63.0,21,0.504,
The Power of Zeus,High Hops Brewery,CO,West,American Pale Ale (APA),Pale Ale,Ale,12,70.0,68,0.56,
Aviator Raspberry Blonde,Crooked Fence Brewing Company,ID,West,American Blonde Ale,Pale Ale,Ale,12,49.0,25,0.392,
Little Sister India Style Session Ale,Everybody's Brewing,WA,West,American IPA,IPA,Strong Ale,12,43.0,60,0.344,
Hinchtown Hammer Down,Flat 12 Bierwerks,IN,Midwest,American Blonde Ale,Pale Ale,Ale,16,50.0,27,0.4,
Point Cascade Pale Ale (2013),Stevens Point Brewery,WI,Midwest,American Pale Ale (APA),Pale Ale,Ale,12,54.0,33,0.432,
Pretzel Stout,Martin House Brewing Company,TX,South,American Stout,Stout / Porter,Dark,16,65.0,47,0.52,
Rad,Sixpoint Craft Ales,NY,Northeast,Fruit / Vegetable Beer,Sour,Other,16,32.0,7,0.256,
Santa's Secret,Carolina Brewery,NC,South,Winter Warmer,Dark Ale,Dark,16,59.0,22,0.472,
Salamander Slam,Frog Level Brewing Company,NC,South,American IPA,IPA,Strong Ale,16,70.0,73,0.56,
Blonde Hunny,Wild Wolf Brewing Company,VA,South,Belgian Pale Ale,Pale Ale,Ale,12,68.0,21,0.544,
Oak Cliff Coffee Ale,Deep Ellum Brewing Company,TX,South,American Brown Ale,Dark Ale,Dark,12,75.0,33,0.6,
Seventh Son of a Seventh Son,Seventh Son Brewing Company,OH,Midwest,American Strong Ale,Strong Ale,Strong Ale,16,77.0,40,0.616,
Lake Monster,Oasis Texas Brewing Company,TX,South,Baltic Porter,Stout / Porter,Dark,16,82.0,25,0.656,
Night Cat,Two Brothers Brewing Company,IL,Midwest,American Dark Wheat Ale,Dark Ale,Dark,12,58.0,43,0.464,
Torpedo,Sierra Nevada Brewing Company,CA,West,American IPA,IPA,Strong Ale,12,72.0,65,0.576,
Lobo Lito,Pedernales Brewing Company,TX,South,Light Lager,Lager,Lager,12,40.0,12,0.32,
Towhead,Mother's Brewing,,,American Blonde Ale,Pale Ale,Ale,12,52.0,21,0.416,
Day Hike Session,Two Beers Brewing Company,WA,West,American IPA,IPA,Strong Ale,12,41.0,41,0.328,
American Lager,Straub Brewery,PA,Northeast,American Adjunct Lager,Lager,Lager,12,41.0,8,0.328,
American Amber,Straub Brewery,PA,Northeast,American Amber / Red Lager,Lager,Lager,12,41.0,8,0.328,
American Light,Straub Brewery,PA,Northeast,Light Lager,Lager,Lager,12,32.0,13,0.256,
Ranger IPA,New Belgium Brewing Company,CO,West,American IPA,IPA,Strong Ale,12,65.0,70,0.52,
Pride of Texas Pale Ale,Rahr & Sons Brewing Company,TX,South,American Pale Ale (APA),Pale Ale,Ale,12,58.0,60,0.464,
Point Special,Stevens Point Brewery,WI,Midwest,American Adjunct Lager,Lager,Lager,12,47.0,9,0.376,
Dark Voyage Black IPA (2013),Capital Brewery,WI,Midwest,American Black Ale,Dark Ale,Dark,12,65.0,80,0.52,
Wisconsin Amber,Capital Brewery,WI,Midwest,Vienna Lager,Lager,Lager,12,52.0,28,0.416,
Lake House,Capital Brewery,WI,Midwest,Munich Helles Lager,German Lager,Lager,12,46.0,18,0.368,
Bohemian Pils,Narragansett Brewing Company,RI,Northeast,American Pilsner,Pale Ale,Ale,16,52.0,30,0.416,
Ermal's,Warped Wing Brewing Company,OH,Midwest,Cream Ale,Pale Ale,Ale,16,54.0,20,0.432,
Scarecrow,450 North Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,16,69.0,65,0.552,
Ironman,450 North Brewing Company,IN,Midwest,English Strong Ale,Strong Ale,Strong Ale,16,90.0,50,0.72,
Honey Kolsch,450 North Brewing Company,IN,Midwest,Kölsch,German Ale,Ale,16,46.0,15,0.368,
Copperhead Amber,450 North Brewing Company,IN,Midwest,Belgian Dark Ale,Belgian,Ale,16,52.0,18,0.416,
Horny Toad Cerveza,COOP Ale Works,OK,South,American Blonde Ale,Pale Ale,Ale,16,53.0,25,0.424,
Native Amber,COOP Ale Works,OK,South,American Amber / Red Ale,Dark Ale,Dark,16,63.0,35,0.504,
Twisted X,Twisted X Brewing Company,TX,South,American Adjunct Lager,Lager,Lager,12,51.0,19,0.408,
White (2015),Real Ale Brewing Company,TX,South,Witbier,Belgian,Ale,12,46.0,25,0.368,
Sol Drifter,Madtree Brewing Company,OH,Midwest,American Blonde Ale,Pale Ale,Ale,12,43.0,18,0.344,
Lil' Helper,Mother's Brewing,,,American IPA,IPA,Strong Ale,12,70.0,70,0.56,
Mountain Rescue Pale Ale,Goodlife Brewing Co.,OR,West,American Pale Ale (APA),Pale Ale,Ale,12,55.0,40,0.44,
Sunshine Pils,Tröegs Brewing Company,PA,Northeast,American Pilsner,Pale Ale,Ale,12,45.0,45,0.36,
312 Urban Pale Ale,Goose Island Brewing Company,IL,Midwest,American Pale Ale (APA),Pale Ale,Ale,12,54.0,30,0.432,
