Beer,Brewery,State,Region,Style_RAW,Style_12,Style_05,Size,ABV,IBU
Pinner Throwback IPA,Oskar Blues Brewery,CO,West,American IPA,IPA,Strong Ale,12,4.9,35
Power  Light,Independence Brewing Company,TX,South,American Pale Ale APA,Pale Ale,Ale,12,5.5,42
Devils Harvest Extra Pale Ale,Southern Prohibition Brewing Com,MS,Midwest,American Pale Ale APA,Pale Ale,Ale,12,5.8,60
Suzy B Dirty Blonde Ale,Southern Prohibition Brewing Com,MS,Midwest,American Blonde Ale,Pale Ale,Ale,12,5.0,20
The Golden One,High Hops Brewery,CO,West,American Pilsner,Pale Ale,Ale,12,6.3,21
The Power of Zeus,High Hops Brewery,CO,West,American Pale Ale APA,Pale Ale,Ale,12,7.0,68
Aviator Raspberry Blonde,Crooked Fence Brewing Company,ID,West,American Blonde Ale,Pale Ale,Ale,12,4.9,25
Little Sister India Style Session Ale,Everybodys Brewing,WA,West,American IPA,IPA,Strong Ale,12,4.3,60
Hinchtown Hammer Down,Flat 12 Bierwerks,IN,Midwest,American Blonde Ale,Pale Ale,Ale,16,5.0,27
Point Cascade Pale Ale 2013,Stevens Point Brewery,WI,Midwest,American Pale Ale APA,Pale Ale,Ale,12,5.4,33
Salamander Slam,Frog Level Brewing Company,NC,South,American IPA,IPA,Strong Ale,16,7.0,73
Blonde Hunny,Wild Wolf Brewing Company,VA,South,Belgian Pale Ale,Pale Ale,Ale,12,6.8,21
Seventh Son of a Seventh Son,Seventh Son Brewing Company,OH,Midwest,American Strong Ale,Strong Ale,Strong Ale,16,7.7,40
Torpedo,Sierra Nevada Brewing Company,CA,West,American IPA,IPA,Strong Ale,12,7.2,65
Day Hike Session,Two Beers Brewing Company,WA,West,American IPA,IPA,Strong Ale,12,4.1,41
Ranger IPA,New Belgium Brewing Company,CO,West,American IPA,IPA,Strong Ale,12,6.5,70
Pride of Texas Pale Ale,Rahr  Sons Brewing Company,TX,South,American Pale Ale APA,Pale Ale,Ale,12,5.8,60
Bohemian Pils,Narragansett Brewing Company,RI,Northeast,American Pilsner,Pale Ale,Ale,16,5.2,30
Ermals,Warped Wing Brewing Company,OH,Midwest,Cream Ale,Pale Ale,Ale,16,5.4,20
Scarecrow,450 North Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,16,6.9,65
Ironman,450 North Brewing Company,IN,Midwest,English Strong Ale,Strong Ale,Strong Ale,16,9.0,50
Honey Kolsch,450 North Brewing Company,IN,Midwest,Klsch,German Ale,Ale,16,4.6,15
Copperhead Amber,450 North Brewing Company,IN,Midwest,Belgian Dark Ale,Belgian,Ale,16,5.2,18
Horny Toad Cerveza,COOP Ale Works,OK,South,American Blonde Ale,Pale Ale,Ale,16,5.3,25
White 2015,Real Ale Brewing Company,TX,South,Witbier,Belgian,Ale,12,4.6,25
Sol Drifter,Madtree Brewing Company,OH,Midwest,American Blonde Ale,Pale Ale,Ale,12,4.3,18
Mountain Rescue Pale Ale,Goodlife Brewing Co,OR,West,American Pale Ale APA,Pale Ale,Ale,12,5.5,40
Sunshine Pils,Tregs Brewing Company,PA,Northeast,American Pilsner,Pale Ale,Ale,12,4.5,45
312 Urban Pale Ale,Goose Island Brewing Company,IL,Midwest,American Pale Ale APA,Pale Ale,Ale,12,5.4,30
312 Urban Wheat Ale,Goose Island Brewing Company,IL,Midwest,American Pale Wheat Ale,Pale Ale,Ale,16,4.2,18
Hopworks IPA,Hopworks Urban Brewery,OR,West,American IPA,IPA,Strong Ale,16,6.6,75
Goose Island India Pale Ale,Goose Island Brewery Company,IL,Midwest,American IPA,IPA,Strong Ale,12,5.9,55
Double D Blonde,Hop Valley Brewing Company,OR,West,American Blonde Ale,Pale Ale,Ale,12,4.9,20
Worthy IPA,Worthy Brewing Company,OR,West,American IPA,IPA,Strong Ale,12,6.9,69
Abominable Winter Ale,Hopworks Urban Brewery,OR,West,American Strong Ale,Strong Ale,Strong Ale,16,7.3,70
Campside Session IPA,Upland Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,16,4.5,50
Lost Meridian Wit,Base Camp Brewing Co,OR,West,Witbier,Belgian,Ale,12,5.0,20
Tsunami IPA,Mehana Brewing Co,HI,West,American IPA,IPA,Strong Ale,12,7.2,75
Humpback Blonde Ale,Mehana Brewing Co,HI,West,American Blonde Ale,Pale Ale,Ale,12,4.2,22
Mauna Kea Pale Ale,Mehana Brewing Co,HI,West,American Pale Ale APA,Pale Ale,Ale,12,5.4,42
Mound Builder IPA,Peoples Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,12,6.5,77
Amazon Princess IPA,Peoples Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,12,6.2,62
Joey Wheat,Burn Em Brewing,IN,Midwest,American Pale Wheat Ale,Pale Ale,Ale,16,6.8,16
City of the Sun,Modern Times Beer,CA,West,American IPA,IPA,Strong Ale,16,7.5,85
333 Black IPA,Burn Em Brewing,IN,Midwest,American IPA,IPA,Strong Ale,16,7.2,86
Booming Rollers,Modern Times Beer,CA,West,American IPA,IPA,Strong Ale,16,6.8,75
Oneida,Modern Times Beer,CA,West,American Pale Ale APA,Pale Ale,Ale,16,5.2,50
Beyond The Pale IPA,Stevens Point Brewery,WI,Midwest,American IPA,IPA,Strong Ale,12,6.3,64
002 American IPA,Wisconsin Brewing Company,WI,Midwest,American IPA,IPA,Strong Ale,12,7.1,60
004 Session IPA,Wisconsin Brewing Company,WI,Midwest,American IPA,IPA,Strong Ale,12,4.8,38
Robert Earl Keen Honey Pils,Pedernales Brewing Company,TX,South,American Pilsner,Pale Ale,Ale,12,5.0,17
Screamin Pumpkin,Griffin Claw Brewing Company,MI,Midwest,Pumpkin Ale,Ale - Other,Ale,16,5.0,25
Grind Line,Griffin Claw Brewing Company,MI,Midwest,American Pale Ale APA,Pale Ale,Ale,16,5.0,35
Monarch Classic American Wheat,Grapevine Craft Brewery,TX,South,American Pale Wheat Ale,Pale Ale,Ale,12,4.3,21
Lakefire Rye Pale Ale,Grapevine Craft Brewery,TX,South,American Pale Ale APA,Pale Ale,Ale,12,5.5,35
1836,Buffalo Bayou Brewing Company,TX,South,American Blonde Ale,Pale Ale,Ale,12,6.0,40
Summers Wit,Buffalo Bayou Brewing Company,TX,South,Witbier,Belgian,Ale,12,6.0,20
Broken Bridge,Texian Brewing Co,TX,South,Dunkelweizen,German Ale,Ale,12,5.6,12
Brutus,Texian Brewing Co,TX,South,English India Pale Ale IPA,IPA,Strong Ale,12,7.1,69
What the Butler Saw,Forgotten Boardwalk,NJ,Northeast,Witbier,Belgian,Ale,12,5.0,18
1916 Shore Shiver,Forgotten Boardwalk,NJ,Northeast,American IPA,IPA,Strong Ale,12,6.9,65
Laughing Dog Cream Ale,Laughing Dog Brewing Company,ID,West,Cream Ale,Pale Ale,Ale,12,5.0,12
Even Keel,Ballast Point Brewing Company,CA,West,American IPA,IPA,Strong Ale,12,3.8,40
Apr Shred,Big Choice Brewing,CO,West,American Strong Ale,Strong Ale,Strong Ale,16,8.1,17
Arcus IPA,Big Storm Brewing Company,FL,South,American IPA,IPA,Strong Ale,12,6.9,81
Pleasure Town,Midnight Sun Brewing Company,AK,West,American IPA,IPA,Strong Ale,12,6.3,61
Trail Head,Fat Heads Brewery,OH,Midwest,American Pale Ale APA,Pale Ale,Ale,12,6.3,55
Hop Stalker Fresh Hop IPA,Fat Heads Brewery,OH,Midwest,American IPA,IPA,Strong Ale,16,7.0,80
Blood Orange Wit,Refuge Brewery,CA,West,Witbier,Belgian,Ale,16,5.0,16
Hop Up Offa That Brett 2014,Sun King Brewing Company,IN,Midwest,Belgian Pale Ale,Pale Ale,Ale,16,5.8,20
Bourbon Barrel Batch 666 Sympathy for the Devil,Sun King Brewing Company,IN,Midwest,Belgian Dark Ale,Belgian,Ale,16,9.9,36
8 Barrel,Chatham Brewing,NY,Northeast,American Strong Ale,Strong Ale,Strong Ale,16,8.0,69
No Wake IPA,Geneva Lake Brewing Company,WI,Midwest,American IPA,IPA,Strong Ale,12,7.2,50
Boathouse Blonde,Geneva Lake Brewing Company,WI,Midwest,American Blonde Ale,Pale Ale,Ale,12,4.9,15
Slow Ride,Oasis Texas Brewing Company,TX,South,American Pale Ale APA,Pale Ale,Ale,12,4.8,35
Weize Guy,Joseph James Brewing Company,NV,West,Hefeweizen,German Ale,Ale,12,5.0,15
Killer Kolsch,Champion Brewing Company,VA,South,Klsch,German Ale,Ale,12,5.0,22
Pale Alement,Burn Em Brewing,IN,Midwest,American Pale Ale APA,Pale Ale,Ale,16,5.5,40
Dankosaurus,Cedar Creek Brewery,TX,South,American IPA,IPA,Strong Ale,16,6.8,70
Bravo Four Point,Devils Backbone Brewing Company,VA,South,American Pale Ale APA,Pale Ale,Ale,12,4.4,45
Cream Ale,Newburgh Brewing Company,NY,Northeast,Cream Ale,Pale Ale,Ale,12,4.2,35
Skylight,New Republic Brewing Company,TX,South,Dunkelweizen,German Ale,Ale,12,5.6,20
Kadigan,New Republic Brewing Company,TX,South,American Blonde Ale,Pale Ale,Ale,12,5.6,30
Infamous IPA,Infamous Brewing Company,TX,South,American IPA,IPA,Strong Ale,12,7.0,75
Ballistic Blonde,Lucky Town Brewing Company,MS,Midwest,Belgian Pale Ale,Pale Ale,Ale,12,5.1,31
Golden Fleece,Quest Brewing Company,SC,South,Belgian Pale Ale,Pale Ale,Ale,12,4.5,35
Tropicalia,Creature Comforts,GA,South,American IPA,IPA,Strong Ale,12,6.5,65
Pursuit,Half Full Brewery,CT,Northeast,American IPA,IPA,Strong Ale,12,7.0,40
Vertex IPA,Destihl Brewery,IL,Midwest,American IPA,IPA,Strong Ale,12,6.3,76
Pail Ale,Chapmans Brewing,IN,Midwest,American Pale Ale APA,Pale Ale,Ale,16,5.5,30
Operation Homefront,Cigar City Brewing Company,FL,South,American IPA,IPA,Strong Ale,12,6.2,65
Norms Gateway IPA,Griffin Claw Brewing Company,MI,Midwest,American IPA,IPA,Strong Ale,12,4.0,55
Barrio Blanco,Barrio Brewing Company,AZ,West,American IPA,IPA,Strong Ale,12,6.0,60
Fistful Of Hops Red,Sun King Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,16,6.4,75
Fistful of Hops Orange,Sun King Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,16,6.3,75
Fistful Of Hops Blue,Sun King Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,16,6.4,75
Fistful of Hops Green,Sun King Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,16,6.4,75
Bitter Bitch,18th Street Brewery,IN,Midwest,American Pale Ale APA,Pale Ale,Ale,12,6.1,60
Texas Pale Ale TPA,South Austin Brewery,TX,South,American IPA,IPA,Strong Ale,16,5.5,40
Kol Beer,South Austin Brewery,TX,South,Klsch,German Ale,Ale,16,5.0,22
FMB 101,Figueroa Mountain Brewing Company,CA,West,Klsch,German Ale,Ale,12,4.8,20
SkyFive,Bauhaus Brew Labs,MN,Midwest,American IPA,IPA,Strong Ale,12,6.7,70
Sensi Harvest,Sixpoint Craft Ales,NY,Northeast,American Pale Ale APA,Pale Ale,Ale,12,4.7,50
Ozark American Pale Ale,Ozark Beer Company,AR,South,American Pale Ale APA,Pale Ale,Ale,12,4.0,39
Ghost Ship White IPA,Capital Brewery,WI,Midwest,American IPA,IPA,Strong Ale,12,5.6,55
Upland Wheat Ale,Upland Brewing Company,IN,Midwest,Witbier,Belgian,Ale,16,4.5,15
Overgrown American Pale Ale,Otter Creek Brewing,VT,Northeast,American Pale Ale APA,Pale Ale,Ale,12,5.5,55
Almanac IPA,Tractor Brewing Company,NM,West,American IPA,IPA,Strong Ale,12,6.2,72
Zen,Rhinegeist Brewery,OH,Midwest,American Pale Ale APA,Pale Ale,Ale,12,4.3,45
SunSpot Golden Ale,SanTan Brewing Company,AZ,West,American Blonde Ale,Pale Ale,Ale,12,5.0,15
Missile IPA,Champion Brewing Company,VA,South,American IPA,IPA,Strong Ale,12,7.0,65
Thai Style White IPA,Upslope Brewing Company,CO,West,American White IPA,IPA,Strong Ale,12,6.5,33
Summer Session Ale,Peak Organic Brewing Company,ME,Northeast,American Pale Wheat Ale,Pale Ale,Ale,12,5.0,61
Long Trail IPA,Long Trail Brewing Company,VT,Northeast,English India Pale Ale IPA,IPA,Strong Ale,12,5.9,42
Trader Session IPA,Uinta Brewing Company,UT,West,American IPA,IPA,Strong Ale,12,4.0,42
Commotion APA,Great Raft Brewing Company,LA,South,American Pale Ale APA,Pale Ale,Ale,12,5.2,49
